UserID,Consumption,UsageType,TariffPlan,Location,AverageDailyConsumption,TimeOfDay,MeterID,MeterStatus,PaymentHistory,FraudReported
35,9.08,gas,Commercial,Dallas,378.59,off-peak,M-9697,Normal,On-Time,0
36,307.95,gas,Commercial,Miami,347.83,off-peak,M-5516,Normal,Late,0
37,392.79,electricity,Residential,Dallas,293.13,peak,M-3911,Tampered,Late,1
38,487.57,gas,Commercial,Houston,491.4,peak,M-1228,Normal,Late,0
39,218.59,gas,Residential,New York,70.31,peak,M-5217,Tampered,On-Time,1
40,299.74,electricity,Residential,Houston,165.9,peak,M-1488,Tampered,On-Time,1
41,307.68,gas,Commercial,Seattle,462.35,peak,M-5170,Tampered,Late,1
42,244.54,electricity,Commercial,New York,7.96,off-peak,M-7332,Normal,On-Time,1
43,209.81,electricity,Commercial,New York,234.99,peak,M-8318,Tampered,On-Time,1
44,304.56,gas,Commercial,Boston,93.72,off-peak,M-6457,Tampered,Late,1
45,255.93,electricity,Residential,Boston,4.21,peak,M-5710,Tampered,Late,1
46,269.12,electricity,Commercial,Miami,335.13,peak,M-1158,Normal,On-Time,0
47,187.46,electricity,Commercial,Dallas,426.88,off-peak,M-8415,Normal,Late,0
48,71.56,gas,Commercial,Los Angeles,92.46,off-peak,M-1568,Tampered,Late,1
49,384.23,gas,Residential,New York,116.68,peak,M-3216,Normal,On-Time,1
50,227.68,electricity,Residential,Boston,248.83,peak,M-1278,Tampered,Late,1
51,73.42,gas,Commercial,Seattle,302.01,peak,M-1558,Normal,Late,0
52,123.05,electricity,Commercial,Chicago,226.23,off-peak,M-9929,Normal,On-Time,0
53,176.66,gas,Commercial,New York,375.01,off-peak,M-7028,Tampered,Late,1
54,91.8,gas,Commercial,Houston,434.27,off-peak,M-1061,Tampered,Late,1
55,361.1,gas,Residential,Dallas,66.76,off-peak,M-2112,Tampered,Late,1
56,172.39,electricity,Commercial,Houston,435.07,peak,M-4840,Tampered,Late,1
57,197.96,gas,Residential,Dallas,245.61,off-peak,M-7060,Normal,Late,0
58,183.87,gas,Residential,Boston,69.06,off-peak,M-8507,Normal,Late,1
59,135.85,gas,Residential,Seattle,143.05,off-peak,M-9637,Normal,Late,0
60,214.93,electricity,Commercial,Boston,77.06,peak,M-6631,Normal,Late,1
61,84.54,electricity,Commercial,Seattle,81.34,off-peak,M-2289,Normal,On-Time,0
62,25.62,electricity,Residential,Chicago,288.98,peak,M-3644,Normal,On-Time,0
63,171.67,electricity,Residential,Boston,81.79,off-peak,M-2539,Tampered,On-Time,1
64,457.41,electricity,Residential,Seattle,74.39,off-peak,M-5466,Normal,Late,1
65,422.55,gas,Residential,Miami,202.22,peak,M-5929,Normal,Late,1
66,192.67,electricity,Residential,Dallas,391.89,off-peak,M-8189,Tampered,Late,1
67,480.38,gas,Residential,Dallas,150.4,peak,M-1094,Tampered,Late,1
68,404.56,electricity,Residential,New York,437.96,peak,M-7185,Normal,Late,0
69,440.39,electricity,Residential,Miami,16.46,peak,M-8840,Tampered,On-Time,1
70,22.75,electricity,Commercial,Houston,177.51,off-peak,M-2938,Tampered,On-Time,1
71,182.3,electricity,Residential,Houston,35.47,off-peak,M-1545,Normal,Late,1
72,352.11,electricity,Commercial,Chicago,3.31,peak,M-5931,Tampered,On-Time,1
73,144.14,electricity,Commercial,New York,363.21,off-peak,M-9196,Tampered,On-Time,1
74,450.14,electricity,Commercial,Chicago,326.75,off-peak,M-3394,Tampered,Late,1
75,288.52,gas,Residential,Miami,226.4,peak,M-7756,Normal,On-Time,0
76,390.29,electricity,Commercial,Chicago,225.81,off-peak,M-7055,Normal,Late,0
77,185.75,electricity,Residential,Chicago,332.94,off-peak,M-9700,Normal,On-Time,0
78,101.54,gas,Commercial,Miami,239.86,off-peak,M-6526,Normal,On-Time,0
79,419.09,electricity,Commercial,Boston,64.77,peak,M-4369,Normal,Late,1
80,242.93,gas,Residential,Boston,279.77,off-peak,M-4662,Normal,Late,0
81,418.74,gas,Residential,Boston,350.6,peak,M-2223,Tampered,Late,1
82,171.14,electricity,Residential,Miami,120.01,off-peak,M-5750,Normal,Late,0
83,371.03,gas,Residential,Seattle,215.15,off-peak,M-5509,Tampered,On-Time,1
84,31.62,gas,Residential,Los Angeles,443.98,peak,M-1775,Tampered,Late,1
85,126.9,gas,Residential,Seattle,111.04,off-peak,M-8993,Tampered,Late,1
86,377.98,electricity,Residential,New York,31.07,off-peak,M-1404,Tampered,Late,1
87,61.89,electricity,Commercial,Seattle,279.87,off-peak,M-2224,Tampered,On-Time,1
88,423.73,electricity,Commercial,New York,257.34,off-peak,M-2822,Tampered,On-Time,1
89,422.84,gas,Commercial,Seattle,96.06,peak,M-9827,Normal,On-Time,1
90,96.27,gas,Residential,Seattle,51.98,off-peak,M-4855,Normal,On-Time,0
91,32.43,gas,Residential,New York,50.7,peak,M-2549,Tampered,On-Time,1
92,213.55,electricity,Residential,Seattle,275.59,off-peak,M-1123,Tampered,Late,1
93,108.13,electricity,Residential,Dallas,290.74,peak,M-7727,Normal,Late,0
94,214.96,electricity,Residential,Chicago,299.77,peak,M-1802,Normal,On-Time,0
95,288.09,gas,Residential,Miami,223.93,off-peak,M-2676,Normal,Late,0
96,420.02,electricity,Residential,Chicago,122.38,peak,M-3361,Normal,Late,1
97,92.66,gas,Commercial,Seattle,316.41,peak,M-9089,Normal,On-Time,0
98,381.87,electricity,Commercial,Los Angeles,117.51,off-peak,M-9866,Normal,On-Time,1
99,45.8,gas,Commercial,Houston,169.72,off-peak,M-3819,Tampered,On-Time,1
100,134.88,electricity,Commercial,Miami,238.51,off-peak,M-6075,Normal,On-Time,0
101,53.36,gas,Commercial,Seattle,269.17,off-peak,M-3726,Tampered,On-Time,1
102,106.52,electricity,Residential,Seattle,498.95,off-peak,M-9007,Normal,Late,0
103,306.66,electricity,Commercial,Dallas,96.81,peak,M-9547,Tampered,Late,1
104,310.84,electricity,Commercial,Dallas,436.84,peak,M-4305,Normal,Late,0
105,137.23,gas,Commercial,Los Angeles,125.01,peak,M-4193,Normal,Late,0
106,370.25,gas,Commercial,Los Angeles,262.17,off-peak,M-2877,Normal,Late,0
107,445.82,electricity,Residential,Miami,460.22,off-peak,M-1020,Normal,Late,0
108,453.02,electricity,Residential,New York,189.87,peak,M-1912,Tampered,Late,1
109,182.19,gas,Residential,Los Angeles,401.28,peak,M-2174,Tampered,Late,1
110,422.97,gas,Commercial,Boston,372.31,peak,M-6133,Normal,On-Time,0
111,14.72,gas,Commercial,Seattle,54.75,off-peak,M-7677,Normal,On-Time,0
112,300.15,gas,Commercial,Boston,161.12,peak,M-4347,Tampered,Late,1
113,115.5,electricity,Commercial,Los Angeles,376.3,off-peak,M-7641,Tampered,Late,1
114,139.56,electricity,Commercial,Chicago,244.7,off-peak,M-2543,Tampered,On-Time,1
115,480.95,electricity,Residential,Chicago,370.16,peak,M-6641,Normal,Late,0
116,291.25,electricity,Commercial,New York,135.08,peak,M-2107,Normal,Late,1
117,352.99,electricity,Commercial,Houston,38.02,off-peak,M-3699,Normal,On-Time,1
118,59.01,gas,Residential,Houston,454.4,off-peak,M-7666,Normal,On-Time,0
119,457.71,electricity,Commercial,Houston,471.09,peak,M-3180,Tampered,On-Time,1
120,75.16,gas,Residential,Chicago,345.9,off-peak,M-2688,Tampered,On-Time,1
121,225.75,electricity,Commercial,Houston,174.22,peak,M-1894,Tampered,Late,1
122,397.35,electricity,Commercial,Houston,166.53,off-peak,M-3181,Tampered,On-Time,1
123,32.7,gas,Residential,Chicago,114.42,off-peak,M-1435,Tampered,Late,1
124,349.14,electricity,Commercial,Chicago,269.12,peak,M-3707,Normal,On-Time,0
125,147.67,gas,Residential,Miami,422.77,peak,M-8039,Normal,Late,0
126,331.07,gas,Residential,New York,117.07,peak,M-3508,Normal,On-Time,1
127,376.4,gas,Commercial,Dallas,450.48,peak,M-4745,Tampered,Late,1
128,215.17,gas,Commercial,Seattle,63,off-peak,M-9883,Normal,On-Time,1
129,111.34,electricity,Residential,Chicago,358.02,peak,M-6247,Tampered,On-Time,1
130,25.27,electricity,Commercial,Chicago,199.29,off-peak,M-6321,Normal,Late,0
131,21.9,gas,Residential,Los Angeles,487.56,off-peak,M-5490,Tampered,Late,1
132,404.83,gas,Residential,New York,26.34,peak,M-4828,Normal,On-Time,1
133,10.69,electricity,Residential,New York,131.82,off-peak,M-1322,Tampered,On-Time,1
134,430.14,gas,Commercial,Los Angeles,295.91,peak,M-4685,Tampered,On-Time,1
135,52.21,electricity,Residential,New York,379.81,off-peak,M-1607,Tampered,On-Time,1
136,313.43,gas,Residential,Seattle,235.83,peak,M-4574,Normal,On-Time,0
137,490.47,electricity,Commercial,Dallas,134.72,peak,M-4580,Tampered,Late,1
138,320.62,electricity,Commercial,New York,11.83,off-peak,M-7103,Normal,On-Time,1
139,371.58,electricity,Commercial,Houston,80.92,peak,M-7472,Normal,Late,1
140,340.84,gas,Residential,Seattle,288.25,off-peak,M-4365,Tampered,Late,1
141,58.96,electricity,Residential,Seattle,481.94,off-peak,M-5218,Normal,On-Time,0
142,291.86,electricity,Residential,Boston,56.45,peak,M-1501,Tampered,On-Time,1
143,392.97,gas,Residential,Houston,50.02,peak,M-7922,Normal,Late,1
144,359.31,gas,Commercial,Boston,185.59,peak,M-9741,Normal,On-Time,0
145,104.51,gas,Commercial,Miami,183.95,peak,M-1357,Normal,On-Time,0
146,443,electricity,Commercial,Chicago,101.82,peak,M-3067,Normal,On-Time,1
147,347.46,gas,Commercial,Los Angeles,305.02,off-peak,M-9064,Tampered,Late,1
148,17.21,gas,Residential,Chicago,416.4,peak,M-8915,Tampered,On-Time,1
149,385.68,electricity,Residential,Boston,37.81,peak,M-1618,Normal,On-Time,1
150,69.68,electricity,Commercial,Seattle,128.63,off-peak,M-9067,Tampered,On-Time,1
151,292.68,gas,Residential,Seattle,55.55,peak,M-9148,Tampered,Late,1
152,356.77,electricity,Residential,Dallas,245.83,off-peak,M-5012,Normal,Late,0
153,462.08,gas,Residential,Dallas,0.61,peak,M-8089,Normal,On-Time,1
154,178.19,electricity,Residential,Chicago,450.63,peak,M-6911,Tampered,Late,1
155,195.93,electricity,Commercial,Chicago,337.73,peak,M-9232,Normal,On-Time,0
156,127.5,gas,Residential,Boston,35.19,peak,M-2682,Tampered,Late,1
157,253.97,electricity,Residential,Chicago,296.17,off-peak,M-1922,Tampered,On-Time,1
158,177.16,electricity,Commercial,Los Angeles,21.38,off-peak,M-3587,Tampered,Late,1
159,478.82,electricity,Residential,Chicago,121.5,off-peak,M-9691,Tampered,Late,1
160,251.22,gas,Residential,Miami,180.7,peak,M-3498,Tampered,Late,1
161,445.17,gas,Residential,Dallas,165.4,off-peak,M-6127,Tampered,Late,1
162,15.65,gas,Residential,New York,218.17,peak,M-6871,Normal,On-Time,0
163,395.84,electricity,Residential,Houston,441.05,peak,M-6585,Normal,On-Time,0
164,79.63,electricity,Commercial,Houston,96.34,peak,M-1743,Normal,On-Time,0
165,210.5,electricity,Residential,New York,58.47,off-peak,M-2153,Normal,On-Time,1
166,274.41,gas,Commercial,New York,449.5,peak,M-9142,Tampered,Late,1
167,371.56,gas,Commercial,New York,233.83,peak,M-7041,Normal,Late,0
168,154.98,gas,Residential,Boston,168.94,peak,M-8500,Normal,Late,0
169,103.63,gas,Residential,Miami,277.01,off-peak,M-9964,Normal,On-Time,0
170,119.82,gas,Residential,Boston,271.02,off-peak,M-4725,Tampered,Late,1
171,71.17,gas,Residential,Houston,389.17,off-peak,M-8718,Tampered,Late,1
172,119.52,electricity,Residential,Houston,10.29,peak,M-4072,Tampered,Late,1
173,370.74,gas,Residential,Los Angeles,214.25,off-peak,M-8918,Tampered,On-Time,1
174,311.38,gas,Commercial,Los Angeles,469.71,off-peak,M-9672,Normal,On-Time,0
175,173.71,gas,Commercial,Chicago,85.41,off-peak,M-7211,Tampered,On-Time,1
176,381.43,gas,Residential,Chicago,228.78,off-peak,M-8718,Normal,Late,0
177,63.33,gas,Commercial,New York,366.73,off-peak,M-6114,Normal,On-Time,0
178,231.42,electricity,Residential,Dallas,247.29,off-peak,M-4500,Normal,On-Time,0
179,441.23,gas,Residential,New York,53.9,peak,M-2869,Normal,Late,1
180,482.64,gas,Residential,Los Angeles,165.06,peak,M-2829,Normal,Late,1
181,448.4,gas,Residential,Los Angeles,386.47,peak,M-2210,Tampered,On-Time,1
182,139.1,electricity,Commercial,Seattle,225.11,peak,M-7645,Tampered,Late,1
183,35.1,electricity,Commercial,New York,215.73,off-peak,M-9179,Tampered,Late,1
184,312.04,electricity,Commercial,New York,373.73,peak,M-4676,Tampered,On-Time,1
185,405.24,gas,Commercial,Seattle,162.45,peak,M-2182,Normal,Late,1
186,25.62,gas,Residential,Los Angeles,482.05,off-peak,M-2920,Normal,On-Time,0
187,350.24,electricity,Residential,Miami,458.7,off-peak,M-5635,Tampered,Late,1
188,232.75,electricity,Residential,Chicago,99.53,peak,M-9635,Tampered,On-Time,1
189,205.24,electricity,Residential,Chicago,82.78,peak,M-7014,Normal,Late,1
190,307.22,electricity,Residential,Houston,179.77,peak,M-2966,Tampered,Late,1
191,155.01,electricity,Commercial,Miami,444.81,off-peak,M-4889,Normal,On-Time,0
192,214.08,electricity,Residential,New York,131.78,off-peak,M-9847,Normal,On-Time,0
193,330.81,electricity,Residential,Los Angeles,35.93,off-peak,M-1756,Normal,On-Time,1
194,141.2,electricity,Commercial,Seattle,90.98,peak,M-7101,Normal,On-Time,0
195,215.84,gas,Commercial,Houston,113.34,off-peak,M-8497,Normal,Late,0
196,497.03,electricity,Commercial,New York,451.26,peak,M-1838,Normal,Late,0
197,43.63,gas,Commercial,Seattle,79.52,off-peak,M-7417,Tampered,On-Time,1
198,82.06,gas,Residential,Los Angeles,259.27,off-peak,M-4038,Tampered,On-Time,1
199,266.14,electricity,Residential,Los Angeles,4.28,off-peak,M-1002,Tampered,On-Time,1
200,475.85,gas,Commercial,Seattle,127.09,off-peak,M-5663,Normal,Late,1
201,451.81,electricity,Commercial,Chicago,218.57,peak,M-7757,Normal,Late,1
202,386.74,gas,Residential,Los Angeles,389.26,peak,M-3391,Normal,Late,0
203,301.93,electricity,Commercial,New York,318.85,peak,M-8687,Tampered,On-Time,1
204,290.37,gas,Commercial,Los Angeles,317.74,peak,M-6767,Tampered,On-Time,1
205,345.66,gas,Residential,New York,203.06,off-peak,M-1272,Normal,Late,0
206,299.64,electricity,Commercial,Seattle,175.61,off-peak,M-7205,Normal,Late,0
207,285.92,electricity,Residential,Seattle,231.48,off-peak,M-4571,Tampered,Late,1
208,81.69,gas,Residential,Houston,185.63,peak,M-8367,Tampered,Late,1
209,60.17,electricity,Residential,Dallas,226.96,off-peak,M-4880,Normal,Late,0
210,318.08,electricity,Commercial,Boston,24.58,peak,M-7478,Tampered,Late,1
211,443.13,gas,Residential,New York,318.34,peak,M-1467,Normal,On-Time,0
212,146.65,gas,Commercial,Seattle,434.95,off-peak,M-9616,Normal,On-Time,0
213,42.23,electricity,Residential,New York,468.62,off-peak,M-6924,Tampered,On-Time,1
214,47.43,gas,Residential,Boston,435.27,peak,M-1449,Normal,On-Time,0
215,145.21,electricity,Commercial,Houston,302.63,off-peak,M-6636,Tampered,Late,1
216,40.19,electricity,Commercial,Miami,482.75,off-peak,M-4085,Tampered,Late,1
217,243.87,electricity,Residential,New York,416.35,peak,M-6847,Tampered,Late,1
218,271.84,gas,Residential,New York,141.12,off-peak,M-1687,Tampered,Late,1
219,204.78,electricity,Residential,Boston,353.37,off-peak,M-6385,Normal,On-Time,0
220,441.5,gas,Commercial,Miami,410.29,peak,M-8412,Tampered,Late,1
221,449.24,electricity,Residential,Miami,339.47,off-peak,M-2328,Normal,On-Time,0
222,419.65,gas,Commercial,Boston,211.73,off-peak,M-3330,Tampered,On-Time,1
223,355.2,electricity,Commercial,Chicago,455.32,peak,M-9438,Normal,On-Time,0
224,493.04,electricity,Residential,Miami,397.3,peak,M-4717,Tampered,On-Time,1
225,346.99,gas,Residential,New York,276.23,peak,M-7968,Tampered,Late,1
226,198.05,electricity,Commercial,Miami,101.4,off-peak,M-7912,Normal,Late,0
227,14.5,electricity,Commercial,Dallas,398.99,peak,M-2871,Normal,Late,0
228,103.44,gas,Residential,Dallas,412.52,off-peak,M-2512,Tampered,On-Time,1
229,57.43,electricity,Residential,Dallas,65.83,off-peak,M-3259,Tampered,On-Time,1
230,114.68,gas,Commercial,Miami,414.32,peak,M-4602,Normal,Late,0
231,445.8,electricity,Commercial,New York,433.73,off-peak,M-6523,Tampered,On-Time,1
232,292.73,electricity,Commercial,Houston,244.27,peak,M-6736,Normal,Late,0
233,239.7,gas,Residential,New York,196.3,off-peak,M-8308,Tampered,Late,1
234,280.59,electricity,Commercial,Houston,346.83,off-peak,M-3458,Normal,On-Time,0
235,420.6,electricity,Residential,Dallas,365.43,off-peak,M-2659,Normal,On-Time,0
236,85.44,electricity,Commercial,Seattle,422,off-peak,M-3526,Normal,Late,0
237,373.97,gas,Residential,Houston,481.21,peak,M-8241,Normal,Late,0
238,187.51,electricity,Residential,Dallas,125.18,off-peak,M-7274,Normal,Late,0
239,354.05,gas,Commercial,Houston,251.45,peak,M-4966,Normal,Late,0
240,433.56,gas,Residential,Dallas,30.78,peak,M-7384,Normal,Late,1
241,77.24,electricity,Commercial,Seattle,214.55,peak,M-3649,Tampered,Late,1
242,465.93,electricity,Commercial,Miami,156.57,peak,M-6979,Tampered,Late,1
243,21.25,gas,Commercial,Seattle,187.1,peak,M-7114,Tampered,Late,1
244,366.78,gas,Residential,Dallas,253.4,off-peak,M-9279,Normal,Late,0
245,91.89,gas,Commercial,Dallas,195.56,peak,M-5294,Tampered,Late,1
246,259.37,electricity,Residential,Chicago,453.79,off-peak,M-1197,Normal,On-Time,0
247,427.36,gas,Commercial,Seattle,269.09,peak,M-8276,Tampered,On-Time,1
248,220.49,electricity,Residential,New York,226.08,off-peak,M-5690,Normal,On-Time,0
249,165.39,gas,Commercial,Dallas,208.38,peak,M-7670,Tampered,On-Time,1
250,371.38,electricity,Commercial,Chicago,316.81,peak,M-6288,Normal,Late,0
251,220.06,electricity,Residential,Seattle,57.35,peak,M-8384,Tampered,Late,1
252,95.25,electricity,Residential,Houston,9.19,off-peak,M-5305,Tampered,Late,1
253,70,gas,Residential,Los Angeles,379.98,peak,M-5693,Tampered,On-Time,1
254,24.48,electricity,Commercial,Boston,89.89,peak,M-2435,Normal,Late,0
255,156.94,gas,Commercial,Seattle,118.77,peak,M-1688,Normal,Late,0
256,484.55,electricity,Commercial,Houston,448.49,off-peak,M-9061,Normal,On-Time,0
257,43.63,gas,Commercial,Seattle,66.54,off-peak,M-6206,Tampered,Late,1
258,425.61,electricity,Residential,Miami,126.42,peak,M-5792,Normal,On-Time,1
259,159.98,gas,Commercial,Dallas,263.22,peak,M-4771,Normal,On-Time,0
260,389.87,electricity,Commercial,New York,55.39,peak,M-9446,Normal,On-Time,1
261,333.69,gas,Residential,Chicago,392.14,off-peak,M-6127,Tampered,On-Time,1
262,446.67,gas,Residential,Seattle,7.46,off-peak,M-1254,Tampered,On-Time,1
263,208.96,gas,Commercial,Chicago,299.98,peak,M-2955,Tampered,Late,1
264,301.6,electricity,Commercial,Dallas,468.48,off-peak,M-6591,Normal,Late,0
265,119.92,gas,Residential,Miami,348.7,off-peak,M-4781,Tampered,On-Time,1
266,127.32,gas,Commercial,Los Angeles,228.87,peak,M-6773,Tampered,Late,1
267,227.94,gas,Residential,Dallas,172,peak,M-4810,Normal,Late,0
268,460.55,gas,Residential,Miami,445.94,off-peak,M-3865,Tampered,Late,1
269,358.12,electricity,Commercial,Miami,306.82,off-peak,M-6609,Tampered,Late,1
270,72.44,electricity,Commercial,Los Angeles,33.73,peak,M-8034,Normal,Late,1
271,484.66,electricity,Residential,Miami,122.34,peak,M-3858,Normal,On-Time,1
272,4.8,electricity,Residential,Houston,177.88,off-peak,M-6213,Normal,Late,0
273,236.78,gas,Commercial,Houston,405.22,off-peak,M-6856,Normal,Late,0
274,330.39,electricity,Commercial,Houston,248.63,peak,M-1268,Normal,On-Time,0
275,334.45,gas,Commercial,Boston,142.58,peak,M-8680,Normal,Late,1
276,486.62,gas,Residential,Seattle,144.42,off-peak,M-7340,Normal,On-Time,1
277,245.6,gas,Commercial,Chicago,50.88,off-peak,M-2310,Tampered,Late,1
278,206.08,electricity,Residential,Boston,436.73,off-peak,M-7631,Normal,Late,0
279,317.63,gas,Commercial,Los Angeles,21.63,peak,M-4055,Tampered,On-Time,1
280,468.65,electricity,Commercial,Los Angeles,427.71,peak,M-6284,Tampered,On-Time,1
281,15.01,gas,Residential,Los Angeles,231.2,peak,M-8983,Tampered,On-Time,1
282,13.55,gas,Residential,Houston,428.11,off-peak,M-2083,Tampered,Late,1
283,300.21,gas,Residential,Miami,41.53,peak,M-1866,Normal,Late,1
284,272.23,gas,Residential,Houston,484.54,off-peak,M-5227,Tampered,On-Time,1
285,467.26,gas,Commercial,New York,312.42,off-peak,M-4453,Tampered,On-Time,1
286,38.63,electricity,Residential,Seattle,66.38,off-peak,M-6952,Tampered,On-Time,1
287,293.55,gas,Residential,Boston,372.71,peak,M-1914,Normal,On-Time,0
288,128.87,electricity,Commercial,Los Angeles,268.2,peak,M-6035,Tampered,Late,1
289,144.93,electricity,Commercial,Seattle,288.68,peak,M-4705,Normal,Late,0
290,461.07,gas,Residential,Seattle,129.39,off-peak,M-1910,Tampered,On-Time,1
291,335.58,electricity,Commercial,Chicago,225.91,off-peak,M-8219,Tampered,On-Time,1
292,192.15,electricity,Residential,New York,149.34,off-peak,M-1996,Tampered,Late,1
293,40.27,electricity,Commercial,Seattle,307.91,off-peak,M-2645,Normal,On-Time,0
294,424.7,gas,Residential,New York,427.56,off-peak,M-8240,Tampered,On-Time,1
295,396.13,gas,Commercial,Boston,202.59,off-peak,M-4119,Normal,On-Time,0
296,5.82,electricity,Residential,New York,3.82,off-peak,M-1236,Normal,On-Time,0
297,120.42,gas,Residential,Dallas,468.56,peak,M-8803,Tampered,Late,1
298,62.56,electricity,Residential,Chicago,377.24,off-peak,M-8122,Normal,Late,0
299,23.11,electricity,Residential,Miami,13.22,peak,M-1979,Normal,On-Time,0
300,182.8,electricity,Commercial,Chicago,135.09,peak,M-4282,Normal,On-Time,0
301,470.01,gas,Residential,Houston,173.85,peak,M-5259,Tampered,On-Time,1
302,22.62,gas,Residential,Chicago,288.97,off-peak,M-2168,Tampered,On-Time,1
303,370.38,electricity,Commercial,Seattle,282.51,peak,M-5114,Normal,On-Time,0
304,354.45,electricity,Residential,Houston,104.02,peak,M-2030,Tampered,Late,1
305,44.97,gas,Residential,Seattle,112.46,peak,M-7133,Normal,Late,0
306,271.29,electricity,Residential,Chicago,433.71,off-peak,M-6835,Normal,On-Time,0
307,439.28,electricity,Commercial,Houston,379.47,peak,M-4318,Tampered,Late,1
308,231.3,electricity,Residential,Boston,218.84,off-peak,M-5473,Normal,On-Time,0
309,32.13,electricity,Commercial,Boston,452.28,off-peak,M-5414,Tampered,Late,1
310,434.18,electricity,Commercial,Dallas,346.68,peak,M-5278,Normal,On-Time,0
311,36.26,gas,Commercial,Houston,328.66,peak,M-6066,Tampered,Late,1
312,440.18,gas,Commercial,Boston,234.98,peak,M-8535,Normal,On-Time,0
313,194.87,gas,Commercial,Miami,150.56,off-peak,M-6800,Normal,On-Time,0
314,345.5,gas,Residential,Seattle,480.41,off-peak,M-2460,Normal,Late,0
315,167.41,gas,Residential,Boston,77.29,peak,M-7213,Tampered,Late,1
316,0.17,gas,Residential,Houston,299.89,peak,M-7383,Tampered,Late,1
317,434.84,gas,Residential,Los Angeles,209.92,off-peak,M-4641,Tampered,Late,1
318,153.86,gas,Residential,Dallas,123.99,peak,M-5325,Tampered,On-Time,1
319,84.79,electricity,Residential,New York,35.22,peak,M-8402,Normal,Late,1
320,231.59,electricity,Residential,Miami,50.09,peak,M-3821,Tampered,Late,1
321,376.28,electricity,Commercial,New York,35.15,off-peak,M-1538,Tampered,Late,1
322,76.4,electricity,Commercial,Miami,149.28,off-peak,M-9691,Tampered,On-Time,1
323,214.92,electricity,Commercial,Seattle,139.22,off-peak,M-3441,Tampered,On-Time,1
324,269.98,electricity,Residential,Chicago,209.53,peak,M-4313,Normal,On-Time,0
325,155.35,gas,Commercial,Seattle,304.93,off-peak,M-1101,Tampered,Late,1
326,490.42,gas,Residential,New York,479.2,off-peak,M-6889,Normal,On-Time,0
327,498.47,gas,Commercial,Houston,481.45,off-peak,M-6820,Tampered,On-Time,1
328,420.33,electricity,Residential,Miami,459.1,off-peak,M-3706,Normal,Late,0
329,393.86,gas,Residential,Boston,163.33,off-peak,M-2472,Tampered,Late,1
330,212.47,gas,Commercial,Houston,124.63,peak,M-9849,Tampered,Late,1
